Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,sleep_in_hr
1503960366,2016-04-12,1,327,346,5.8
1503960366,2016-04-13,2,384,407,6.8
1503960366,2016-04-15,1,412,442,7.4
1503960366,2016-04-16,2,340,367,6.1
1503960366,2016-04-17,1,700,712,11.9
1503960366,2016-04-19,1,304,320,5.3
1503960366,2016-04-20,1,360,377,6.3
1503960366,2016-04-21,1,325,364,6.1
1503960366,2016-04-23,1,361,384,6.4
1503960366,2016-04-24,1,430,449,7.5
1503960366,2016-04-25,1,277,323,5.4
1503960366,2016-04-26,1,245,274,4.6
1503960366,2016-04-28,1,366,393,6.6
1503960366,2016-04-29,1,341,354,5.9
1503960366,2016-04-30,1,404,425,7.1
1503960366,2016-05-01,1,369,396,6.6
1503960366,2016-05-02,1,277,309,5.2
1503960366,2016-05-03,1,273,296,4.9
1503960366,2016-05-05,1,247,264,4.4
1503960366,2016-05-06,1,334,367,6.1
1503960366,2016-05-07,1,331,349,5.8
1503960366,2016-05-08,1,594,611,10.2
1503960366,2016-05-09,1,338,342,5.7
1503960366,2016-05-10,1,383,403,6.7
1503960366,2016-05-11,1,285,306,5.1
1644430081,2016-04-29,1,119,127,2.1
1644430081,2016-04-30,1,124,142,2.4
1644430081,2016-05-02,1,796,961,16.0
1644430081,2016-05-08,1,137,154,2.6
1844505072,2016-04-15,1,644,961,16.0
1844505072,2016-04-30,1,722,961,16.0
1844505072,2016-05-01,1,590,961,16.0
1927972279,2016-04-12,3,750,775,12.9
1927972279,2016-04-13,1,398,422,7.0
1927972279,2016-04-15,2,475,499,8.3
1927972279,2016-04-26,1,296,315,5.2
1927972279,2016-04-28,1,166,178,3.0
2026352035,2016-04-12,1,503,546,9.1
2026352035,2016-04-13,1,531,565,9.4
2026352035,2016-04-14,1,545,568,9.5
2026352035,2016-04-15,1,523,573,9.6
2026352035,2016-04-16,1,524,567,9.4
2026352035,2016-04-17,1,437,498,8.3
2026352035,2016-04-19,1,498,540,9.0
2026352035,2016-04-20,1,461,510,8.5
2026352035,2016-04-21,1,477,514,8.6
2026352035,2016-04-22,1,520,545,9.1
2026352035,2016-04-23,1,522,554,9.2
2026352035,2016-04-24,1,555,591,9.8
2026352035,2016-04-25,1,506,531,8.8
2026352035,2016-04-27,1,508,545,9.1
2026352035,2016-04-28,1,513,545,9.1
2026352035,2016-04-29,1,490,510,8.5
2026352035,2016-04-30,1,573,607,10.1
2026352035,2016-05-01,1,527,546,9.1
2026352035,2016-05-02,1,511,543,9.0
2026352035,2016-05-04,1,538,560,9.3
2026352035,2016-05-05,1,468,485,8.1
2026352035,2016-05-06,1,524,548,9.1
2026352035,2016-05-07,1,511,521,8.7
2026352035,2016-05-08,1,541,568,9.5
2026352035,2016-05-09,1,531,556,9.3
2026352035,2016-05-10,1,357,380,6.3
2026352035,2016-05-11,1,523,553,9.2
2026352035,2016-05-12,1,456,485,8.1
2320127002,2016-04-23,1,61,69,1.2
2347167796,2016-04-13,1,467,531,8.8
2347167796,2016-04-14,1,445,489,8.2
2347167796,2016-04-15,1,452,504,8.4
2347167796,2016-04-17,1,556,602,10.0
2347167796,2016-04-18,1,500,557,9.3
2347167796,2016-04-19,1,465,514,8.6
2347167796,2016-04-21,1,460,484,8.1
2347167796,2016-04-22,1,405,461,7.7
2347167796,2016-04-23,1,374,386,6.4
2347167796,2016-04-24,1,442,459,7.6
2347167796,2016-04-25,1,433,471,7.8
2347167796,2016-04-26,1,436,490,8.2
2347167796,2016-04-27,1,448,499,8.3
2347167796,2016-04-28,1,408,450,7.5
2347167796,2016-04-29,1,411,473,7.9
3977333714,2016-04-12,1,274,469,7.8
3977333714,2016-04-13,2,295,456,7.6
3977333714,2016-04-14,1,291,397,6.6
3977333714,2016-04-15,1,424,556,9.3
3977333714,2016-04-16,1,283,510,8.5
3977333714,2016-04-17,1,381,566,9.4
3977333714,2016-04-18,2,412,522,8.7
3977333714,2016-04-19,1,219,395,6.6
3977333714,2016-04-20,2,152,305,5.1
3977333714,2016-04-21,1,332,512,8.5
3977333714,2016-04-22,1,355,476,7.9
3977333714,2016-04-23,1,235,372,6.2
3977333714,2016-04-24,1,310,526,8.8
3977333714,2016-04-25,1,262,467,7.8
3977333714,2016-04-26,1,250,371,6.2
3977333714,2016-04-27,1,349,540,9.0
3977333714,2016-04-28,1,261,423,7.0
3977333714,2016-04-29,1,333,478,8.0
3977333714,2016-04-30,1,237,382,6.4
3977333714,2016-05-01,1,383,626,10.4
3977333714,2016-05-02,1,230,384,6.4
3977333714,2016-05-03,1,292,500,8.3
3977333714,2016-05-04,1,213,336,5.6
3977333714,2016-05-05,1,318,480,8.0
3977333714,2016-05-06,1,323,512,8.5
3977333714,2016-05-07,1,237,443,7.4
3977333714,2016-05-08,2,259,456,7.6
3977333714,2016-05-10,1,312,452,7.5
4020332650,2016-04-12,1,501,541,9.0
4020332650,2016-04-16,1,77,77,1.3
4020332650,2016-05-03,1,322,332,5.5
4020332650,2016-05-04,1,478,536,8.9
4020332650,2016-05-05,1,226,248,4.1
4020332650,2016-05-06,1,385,408,6.8
4020332650,2016-05-08,1,364,402,6.7
4020332650,2016-05-10,1,442,494,8.2
4319703577,2016-04-14,1,535,557,9.3
4319703577,2016-04-15,1,465,491,8.2
4319703577,2016-04-16,1,506,522,8.7
4319703577,2016-04-18,1,515,551,9.2
4319703577,2016-04-19,2,461,498,8.3
4319703577,2016-04-20,1,523,543,9.0
4319703577,2016-04-21,1,59,65,1.1
4319703577,2016-04-22,1,533,550,9.2
4319703577,2016-04-23,1,692,722,12.0
4319703577,2016-04-24,1,467,501,8.4
4319703577,2016-04-25,1,488,506,8.4
4319703577,2016-04-26,1,505,516,8.6
4319703577,2016-04-27,1,286,307,5.1
4319703577,2016-04-28,1,497,522,8.7
4319703577,2016-04-29,1,523,546,9.1
4319703577,2016-04-30,1,490,516,8.6
4319703577,2016-05-01,1,484,500,8.3
4319703577,2016-05-02,1,478,506,8.4
4319703577,2016-05-03,1,474,512,8.5
4319703577,2016-05-06,1,450,491,8.2
4319703577,2016-05-07,1,507,530,8.8
4319703577,2016-05-08,1,602,638,10.6
4319703577,2016-05-09,1,535,565,9.4
4319703577,2016-05-10,1,487,517,8.6
4319703577,2016-05-11,1,529,558,9.3
4319703577,2016-05-12,1,302,321,5.4
4388161847,2016-04-15,1,499,526,8.8
4388161847,2016-04-16,2,426,448,7.5
4388161847,2016-04-17,2,619,641,10.7
4388161847,2016-04-18,1,99,104,1.7
4388161847,2016-04-19,1,329,338,5.6
4388161847,2016-04-20,1,421,451,7.5
4388161847,2016-04-21,1,442,458,7.6
4388161847,2016-04-22,1,82,85,1.4
4388161847,2016-04-23,1,478,501,8.4
4388161847,2016-04-24,3,552,595,9.9
4388161847,2016-04-26,1,319,346,5.8
4388161847,2016-04-27,1,439,500,8.3
4388161847,2016-04-28,1,428,458,7.6
4388161847,2016-04-30,2,409,430,7.2
4388161847,2016-05-01,1,547,597,10.0
4388161847,2016-05-02,2,368,376,6.3
4388161847,2016-05-04,1,390,414,6.9
4388161847,2016-05-05,1,471,495,8.2
4388161847,2016-05-07,1,472,496,8.3
4388161847,2016-05-08,2,529,541,9.0
4388161847,2016-05-09,1,62,65,1.1
4388161847,2016-05-10,1,354,375,6.2
4388161847,2016-05-11,1,469,494,8.2
4445114986,2016-04-12,2,429,457,7.6
4445114986,2016-04-13,2,370,406,6.8
4445114986,2016-04-14,1,441,492,8.2
4445114986,2016-04-15,2,337,379,6.3
4445114986,2016-04-16,1,462,499,8.3
4445114986,2016-04-17,1,98,107,1.8
4445114986,2016-04-19,2,388,424,7.1
4445114986,2016-04-20,1,439,462,7.7
4445114986,2016-04-21,1,436,469,7.8
4445114986,2016-04-22,1,388,417,7.0
4445114986,2016-04-25,1,328,345,5.8
4445114986,2016-04-26,2,353,391,6.5
4445114986,2016-04-27,1,332,374,6.2
4445114986,2016-04-28,1,419,442,7.4
4445114986,2016-04-29,1,106,108,1.8
4445114986,2016-04-30,1,322,353,5.9
4445114986,2016-05-01,2,439,459,7.6
4445114986,2016-05-02,1,502,542,9.0
4445114986,2016-05-03,2,417,450,7.5
4445114986,2016-05-04,2,337,363,6.0
4445114986,2016-05-05,2,462,513,8.6
4445114986,2016-05-06,2,374,402,6.7
4445114986,2016-05-07,2,401,436,7.3
4445114986,2016-05-08,1,361,391,6.5
4445114986,2016-05-09,1,457,533,8.9
4445114986,2016-05-10,1,405,426,7.1
4445114986,2016-05-11,1,499,530,8.8
4445114986,2016-05-12,1,483,501,8.4
4558609924,2016-04-21,1,126,137,2.3
4558609924,2016-04-26,1,103,121,2.0
4558609924,2016-04-29,1,171,179,3.0
4558609924,2016-05-01,1,115,129,2.2
4558609924,2016-05-08,1,123,134,2.2
4702921684,2016-04-12,1,425,439,7.3
4702921684,2016-04-13,2,400,430,7.2
4702921684,2016-04-14,1,384,415,6.9
4702921684,2016-04-15,1,253,257,4.3
4702921684,2016-04-16,2,382,406,6.8
4702921684,2016-04-17,1,591,612,10.2
4702921684,2016-04-18,1,293,312,5.2
4702921684,2016-04-19,1,457,487,8.1
4702921684,2016-04-20,1,454,468,7.8
4702921684,2016-04-21,1,425,434,7.2
4702921684,2016-04-23,1,465,475,7.9
4702921684,2016-04-24,1,480,506,8.4
4702921684,2016-04-25,1,370,380,6.3
4702921684,2016-04-26,1,421,429,7.2
4702921684,2016-04-27,1,432,449,7.5
4702921684,2016-04-28,1,442,461,7.7
4702921684,2016-04-29,1,433,447,7.4
4702921684,2016-04-30,1,479,501,8.4
4702921684,2016-05-03,1,327,373,6.2
4702921684,2016-05-04,1,412,434,7.2
4702921684,2016-05-05,1,414,428,7.1
4702921684,2016-05-06,1,404,449,7.5
4702921684,2016-05-07,1,520,543,9.0
4702921684,2016-05-09,1,435,458,7.6
4702921684,2016-05-10,1,416,431,7.2
4702921684,2016-05-11,1,354,366,6.1
4702921684,2016-05-12,1,404,442,7.4
5553957443,2016-04-12,1,441,464,7.7
5553957443,2016-04-13,2,455,488,8.1
5553957443,2016-04-14,1,357,418,7.0
5553957443,2016-04-15,1,377,409,6.8
5553957443,2016-04-16,2,651,686,11.4
5553957443,2016-04-17,1,350,402,6.7
5553957443,2016-04-18,2,520,541,9.0
5553957443,2016-04-19,1,357,410,6.8
5553957443,2016-04-20,1,658,678,11.3
5553957443,2016-04-21,1,399,431,7.2
5553957443,2016-04-22,1,322,353,5.9
5553957443,2016-04-23,2,631,725,12.1
5553957443,2016-04-24,2,553,640,10.7
5553957443,2016-04-25,1,433,468,7.8
5553957443,2016-04-26,1,412,453,7.6
5553957443,2016-04-27,1,347,391,6.5
5553957443,2016-04-28,1,421,457,7.6
5553957443,2016-04-29,1,450,495,8.2
5553957443,2016-04-30,2,775,843,14.0
5553957443,2016-05-01,2,622,686,11.4
5553957443,2016-05-02,1,409,471,7.8
5553957443,2016-05-03,1,380,429,7.2
5553957443,2016-05-04,1,447,470,7.8
5553957443,2016-05-05,1,419,464,7.7
5553957443,2016-05-06,1,400,434,7.2
5553957443,2016-05-07,1,442,470,7.8
5553957443,2016-05-08,1,568,608,10.1
5553957443,2016-05-09,1,453,494,8.2
5553957443,2016-05-10,1,418,443,7.4
5553957443,2016-05-11,1,463,486,8.1
5553957443,2016-05-12,1,438,475,7.9
5577150313,2016-04-12,1,419,438,7.3
5577150313,2016-04-13,1,432,458,7.6
5577150313,2016-04-14,1,477,497,8.3
5577150313,2016-04-15,1,392,413,6.9
5577150313,2016-04-16,1,406,445,7.4
5577150313,2016-04-17,1,549,583,9.7
5577150313,2016-04-18,1,527,553,9.2
5577150313,2016-04-19,1,449,465,7.8
5577150313,2016-04-20,1,447,480,8.0
5577150313,2016-04-21,1,414,437,7.3
5577150313,2016-04-22,1,338,366,6.1
5577150313,2016-04-23,1,384,402,6.7
5577150313,2016-04-24,1,543,615,10.2
5577150313,2016-04-25,1,421,461,7.7
5577150313,2016-04-26,1,354,377,6.3
5577150313,2016-04-27,1,424,452,7.5
5577150313,2016-04-28,1,361,372,6.2
5577150313,2016-04-29,1,459,485,8.1
5577150313,2016-04-30,1,412,433,7.2
5577150313,2016-05-01,1,379,398,6.6
5577150313,2016-05-02,2,525,553,9.2
5577150313,2016-05-03,1,508,543,9.0
5577150313,2016-05-04,1,603,634,10.6
5577150313,2016-05-05,1,74,78,1.3
5577150313,2016-05-10,1,504,562,9.4
5577150313,2016-05-11,1,431,476,7.9
6117666160,2016-04-16,1,380,398,6.6
6117666160,2016-04-17,2,336,350,5.8
6117666160,2016-04-18,2,493,510,8.5
6117666160,2016-04-19,1,465,492,8.2
6117666160,2016-04-20,1,474,502,8.4
6117666160,2016-04-21,1,508,550,9.2
6117666160,2016-04-22,1,480,546,9.1
6117666160,2016-04-23,1,492,539,9.0
6117666160,2016-04-24,1,353,367,6.1
6117666160,2016-04-27,1,542,557,9.3
6117666160,2016-04-28,1,393,416,6.9
6117666160,2016-04-29,1,600,636,10.6
6117666160,2016-05-01,1,507,575,9.6
6117666160,2016-05-05,1,392,415,6.9
6117666160,2016-05-06,2,658,698,11.6
6117666160,2016-05-07,2,498,507,8.4
6117666160,2016-05-08,1,555,603,10.0
6117666160,2016-05-09,1,492,522,8.7
6775888955,2016-04-13,1,235,260,4.3
6775888955,2016-04-14,1,423,441,7.4
6775888955,2016-04-15,1,391,406,6.8
6962181067,2016-04-12,1,366,387,6.4
6962181067,2016-04-13,3,630,679,11.3
6962181067,2016-04-14,2,508,535,8.9
6962181067,2016-04-15,1,370,386,6.4
6962181067,2016-04-16,1,357,366,6.1
6962181067,2016-04-17,1,427,446,7.4
6962181067,2016-04-18,1,442,458,7.6
6962181067,2016-04-19,1,476,535,8.9
6962181067,2016-04-20,1,418,424,7.1
6962181067,2016-04-21,1,451,457,7.6
6962181067,2016-04-22,1,425,435,7.2
6962181067,2016-04-23,1,528,546,9.1
6962181067,2016-04-24,1,511,514,8.6
6962181067,2016-04-25,1,400,415,6.9
6962181067,2016-04-26,1,441,446,7.4
6962181067,2016-04-27,1,455,467,7.8
6962181067,2016-04-28,1,440,453,7.6
6962181067,2016-04-29,1,433,447,7.4
6962181067,2016-04-30,1,422,424,7.1
6962181067,2016-05-01,1,411,426,7.1
6962181067,2016-05-02,1,466,482,8.0
6962181067,2016-05-03,1,394,418,7.0
6962181067,2016-05-04,1,442,455,7.6
6962181067,2016-05-05,1,467,491,8.2
6962181067,2016-05-06,1,443,462,7.7
6962181067,2016-05-07,1,298,334,5.6
6962181067,2016-05-08,1,541,569,9.5
6962181067,2016-05-09,1,489,497,8.3
6962181067,2016-05-10,1,469,481,8.0
6962181067,2016-05-11,1,452,480,8.0
6962181067,2016-05-12,1,516,535,8.9
7007744171,2016-04-16,1,79,82,1.4
7007744171,2016-05-01,1,58,61,1.0
7086361926,2016-04-12,1,514,525,8.8
7086361926,2016-04-13,1,451,465,7.8
7086361926,2016-04-14,1,472,476,7.9
7086361926,2016-04-15,1,377,386,6.4
7086361926,2016-04-19,1,472,483,8.0
7086361926,2016-04-20,1,492,502,8.4
7086361926,2016-04-21,1,390,411,6.8
7086361926,2016-04-22,1,428,448,7.5
7086361926,2016-04-24,1,681,704,11.7
7086361926,2016-04-25,1,446,447,7.4
7086361926,2016-04-26,1,485,500,8.3
7086361926,2016-04-27,1,469,479,8.0
7086361926,2016-04-28,1,354,367,6.1
7086361926,2016-04-30,1,485,489,8.2
7086361926,2016-05-01,1,388,407,6.8
7086361926,2016-05-02,1,440,459,7.6
7086361926,2016-05-03,1,456,461,7.7
7086361926,2016-05-04,1,420,436,7.3
7086361926,2016-05-06,1,322,333,5.6
7086361926,2016-05-07,1,530,548,9.1
7086361926,2016-05-08,1,481,510,8.5
7086361926,2016-05-09,1,427,438,7.3
7086361926,2016-05-11,1,451,463,7.7
7086361926,2016-05-12,1,444,457,7.6
8053475328,2016-04-20,1,486,493,8.2
8053475328,2016-04-23,1,331,337,5.6
8053475328,2016-05-07,1,74,75,1.2
8378563200,2016-04-12,1,338,356,5.9
8378563200,2016-04-13,2,447,487,8.1
8378563200,2016-04-14,1,424,455,7.6
8378563200,2016-04-15,1,513,533,8.9
8378563200,2016-04-16,2,611,689,11.5
8378563200,2016-04-17,2,525,591,9.8
8378563200,2016-04-18,1,398,451,7.5
8378563200,2016-04-19,1,387,421,7.0
8378563200,2016-04-20,1,381,409,6.8
8378563200,2016-04-21,1,396,417,7.0
8378563200,2016-04-22,1,441,469,7.8
8378563200,2016-04-23,1,565,591,9.8
8378563200,2016-04-24,1,458,492,8.2
8378563200,2016-04-25,1,388,402,6.7
8378563200,2016-04-26,1,550,584,9.7
8378563200,2016-04-27,1,531,600,10.0
8378563200,2016-04-28,1,506,556,9.3
8378563200,2016-04-29,1,527,562,9.4
8378563200,2016-04-30,1,468,555,9.2
8378563200,2016-05-01,1,475,539,9.0
8378563200,2016-05-02,1,351,385,6.4
8378563200,2016-05-03,1,405,429,7.2
8378563200,2016-05-04,1,441,477,8.0
8378563200,2016-05-05,1,381,417,7.0
8378563200,2016-05-06,1,323,355,5.9
8378563200,2016-05-07,2,459,513,8.6
8378563200,2016-05-08,1,545,606,10.1
8378563200,2016-05-09,1,359,399,6.6
8378563200,2016-05-10,1,342,391,6.5
8378563200,2016-05-11,1,368,387,6.4
8378563200,2016-05-12,1,496,546,9.1
8792009665,2016-04-12,1,458,493,8.2
8792009665,2016-04-13,1,531,552,9.2
8792009665,2016-04-14,1,486,503,8.4
8792009665,2016-04-15,1,363,377,6.3
8792009665,2016-04-20,1,528,547,9.1
8792009665,2016-04-22,1,391,407,6.8
8792009665,2016-04-23,1,339,360,6.0
8792009665,2016-04-27,1,423,428,7.1
8792009665,2016-04-28,1,402,416,6.9
8792009665,2016-04-29,1,398,406,6.8
8792009665,2016-04-30,1,343,360,6.0
8792009665,2016-05-01,1,503,527,8.8
8792009665,2016-05-02,1,415,423,7.0
8792009665,2016-05-03,1,516,545,9.1
8792009665,2016-05-04,1,439,463,7.7
